id,ЕГЭ_Математика,ЕГЭ_Информатика
0,98,90
1,70,61
2,88,93
3,97,89
4,100,96
5,7,16
6,19,18
7,88,99
8,13,17
9,88,87
10,88,90
11,100,98
12,20,1
13,90,99
14,2,9
15,91,5
16,96,90
17,16,5
18,4,19
19,17,20
20,70,63
21,67,64
22,0,9
23,91,94
24,7,2
25,87,98
26,60,50
27,87,89
28,69,62
29,96,95
30,17,19
31,57,51
32,10,5
33,57,67
34,95,88
35,91,97
36,70,68
37,3,18
38,91,87
39,95,97
40,2,5
41,87,93
42,97,87
43,67,55
44,51,61
45,11,12
46,55,70
47,93,95
48,87,100
49,55,56
50,87,92
51,96,89
52,89,94
53,65,68
54,98,8
55,65,53
56,61,64
57,16,3
58,96,94
59,20,1
60,18,1
61,68,56
62,3,18
63,5,19
64,89,90
65,57,66
66,8,5
67,66,61
68,64,69
69,98,85
70,66,67
71,96,97
72,50,52
73,9,2
74,97,85
75,15,15
76,13,13
77,88,87
78,86,100
79,93,99
80,85,91
81,91,87
82,62,60
83,89,91
84,5,2
85,6,15
86,97,95
87,55,51
88,7,2
89,89,95
90,88,86
91,14,10
92,93,87
93,10,17
94,90,87
95,93,100
96,66,52
97,18,1
98,10,14
99,63,63
100,63,53
101,69,52
102,69,52
103,58,53
104,91,95
105,98,87
106,63,70
107,92,98
108,95,90
109,100,94
110,88,87
111,92,91
112,7,19
113,89,100
114,9,8
115,57,66
116,67,66
117,66,69
118,50,70
119,95,87
120,66,61
121,65,64
122,4,6
123,8,0
124,92,85
125,88,94
126,59,67
127,3,12
128,4,13
129,99,96
130,6,10
131,51,61
132,5,16
133,58,67
134,18,15
135,2,18
136,91,97
137,18,1
138,4,9
139,100,95
140,3,0
141,97,90
142,58,67
143,16,3
144,51,58
145,86,86
146,4,98
147,52,50
148,62,54
149,66,66
150,68,66
151,54,51
152,0,15
153,12,11
154,4,14
155,19,4
156,99,89
157,88,85
158,96,85
159,86,97
160,100,92
161,86,97
162,94,97
163,7,17
164,20,3
165,14,9
166,56,65
167,60,62
168,100,91
169,63,65
170,50,61
171,100,94
172,93,86
173,18,4
174,69,64
175,62,62
176,92,88
177,11,12
178,94,90
179,63,57
180,17,13
181,15,20
182,13,9
183,12,15
184,89,95
185,93,96
186,94,89
187,94,91
188,99,90
189,94,85
190,18,8
191,57,66
192,90,94
193,16,17
194,60,58
195,85,90
196,99,88
197,94,89
198,51,59
199,97,85
200,60,60
201,93,89
202,1,13
203,52,60
204,64,69
205,100,88
206,15,8
207,94,98
208,63,67
209,20,15
210,86,90
211,94,96
212,98,92
213,14,15
214,3,13
215,89,87
216,0,11
217,59,56
218,1,6
219,99,97
220,5,18
221,9,8
222,56,62
223,91,86
224,63,61
225,100,98
226,99,88
227,16,17
228,94,100
229,19,16
230,99,91
231,8,6
232,85,98
233,16,9
234,54,58
235,16,13
236,87,99
237,63,62
238,14,14
239,86,93
240,12,0
241,91,97
242,95,100
243,89,97
244,90,98
245,52,68
246,86,94
247,58,52
248,5,0
249,9,17
250,3,7
251,95,91
252,70,55
253,92,7
254,87,87
255,10,7
256,13,19
257,15,1
258,87,95
259,99,87
260,60,68
261,8,17
262,91,86
263,55,54
264,52,56
265,5,13
266,93,95
267,85,100
268,61,55
269,68,68
270,60,58
271,96,99
272,8,11
273,97,90
274,95,98
275,3,7
276,1,8
277,7,5
278,87,94
279,14,20
280,86,86
281,96,88
282,63,69
283,62,60
284,58,70
285,89,94
286,14,2
287,5,2
288,0,4
289,99,88
290,68,58
291,96,89
292,66,64
293,64,61
294,55,66
295,89,100
296,64,50
297,7,90
298,60,54
299,89,87
300,9,10
301,0,0
302,64,70
303,62,50
